pid_assignment,pnrt_audition,pnrt_newclub,pnrt_phone,pnrt_truth,pnrt_food,pnrt_cheat,pnrt_leader,pnrt_skip,pnrt_like,pnrt_challenge,pnrt_personal,pnrt_newlook,pnrt_snuckout,pnrt_newsocial,pnrt_secret,pnrt_sexy,pnrt_beliefs,pnrt_friend,pnrt_sport,pnrt_mph,pnrt_newpeople,pnrt_auditionfreq,pnrt_newclubfreq,pnrt_phonefreq,pnrt_truthfreq,pnrt_foodfreq,pnrt_cheatfreq,pnrt_leaderfreq,pnrt_skipfreq,pnrt_likefreq,pnrt_challengefreq,pnrt_personalfreq,pnrt_newlookfreq,pnrt_snuckoutfreq,pnrt_newsocialfreq,pnrt_secretfreq,pnrt_sexyfreq,pnrt_beliefsfreq,pnrt_friendfreq,pnrt_sportfreq,pnrt_mphfreq,pnrt_newpeoplefreq,pnrt_complete
1012.1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,1,,1,1,1,2,,2,,,1,,1,,,2,,2,1,1,,2,2
2009.1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,,1,,,1,,1,,,,,,,,1,,1,1,,,1,2
3010.1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,2,1,1,2,,2,,,2,1,1,,3,2,,1,2,3,,3,2
1016.1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,,3,3,,1,,,1,,2,1,2,2,,3,1,1,,1,2
3017.1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,2,2,2,2,1,,,,1,,,3,,2,3,2,2,,,2,2
3014.1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,3,2,3,,1,,,1,,1,,1,3,2,2,1,,2,1,2
3011.1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,2,3,2,3,2,,1,1,3,,1,1,3,2,,2,2,1,1,3,2
3012.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,3,3,3,2,2,1,1,1,3,2,2,3,3,,2,2,2,3,3,2
3013.1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,,2,3,3,1,1,2,2,1,1,1,3,1,3,3,,3,1,1,3,2,2
3016.1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,,,,3,3,,2,,,3,,,,,2,1,3,3,,,2,2
3018.1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,2,,3,3,3,3,3,,2,,3,,3,3,3,2,1,3,3,2,2
3020.1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,2,2,3,3,3,3,1,3,,,,,2,2,3,,3,2,2,,2,2
3022.1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,1,,1,3,1,3,1,1,1,,1,,2,,,,,1,1,1,2,1,2
3015.1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,2,,3,1,,1,,,1,2,2,,1,2,2,2,1,1,2,1,2
3043.1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,3,1,3,3,2,3,2,2,,,3,2,2,2,3,3,3,1,,3,2,2
3021.1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,3,2,,2,2,3,2,,3,3,3,3,3,3,3,2,2,,2,2
3019.1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,1,,1,,1,1,1,1,,,1,2,2,,,1,,1,1,1,,1,2
3055.1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,,1,1,2,2,1,1,1,1,2,2,2
3044.1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,2,,3,2,1,2,1,1,1,1,2,1,1,1,2,2,2,1,,2,2
3041.1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,2,1,3,3,3,2,3,1,,,1,1,1,3,1,3,3,2,2,2,2
3039.1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,,,1,,1,,1,1,1,2,1,1,1,2,2
3050.1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,2,2,3,3,3,3,3,1,,2,,2,3,1,2,,3,3,2,3,3,2
3030.1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,2,1,,1,1,1,1,2,1,1,2,1,1,1,2
3023.1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,,2,2,1,1,,,2,,,,2,1,,1,1,,,1,2
3045.1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,,1,3,,,,,2,1,2,,2,,1,2,,,,1,3,1,2
3032.1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,,1,3,3,2,,1,1,1,3,,3,1,2,2,2,1,,3,2
3054.1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,,1,,3,2,3,2,3,,,,,3,3,1,,2,1,,,3,2
3059.1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,,3,1,2,2,2,1,1,1,1,2,1,1,1,3,2,,,1,2
3061.1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,,1,,1,3,,,1,1,2,,3,,,2,,3,2,1,,2,2
3053.1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,,3,2,1,2,,,,,,,,2,,2,1,1,1,1,2
3037.1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,3,1,,2,3,,3,1,2,,2,1,,3,3,3,3,1,,,3,2
3046.1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1,1,,1,,1,3,3,2,2,1,2,1,2
3058.1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,,1,3,1,1,1,2,1,1,,1,2,1,1,3,2,1,2,1,2,2
3034.1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,,,,,3,3,2,,,1,1,2,,3,1,2,1,,1,1,2
3062.1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,,3,1,1,1,,1,1,,1,,1,3,1,3,2,1,1,3,2
3052.1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,2,,3,3,1,3,,1,1,3,3,,1,3,,3,1,1,2,3,2
3031.1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,2,,3,3,2,3,3,2,3,3,3,,3,3,2,3,3,2,,3,2
3038.1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,3,2,3,2,2,1,,2,,2,,2,2,,3,1,1,3,2,2
1021.1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,,0,0,1,1,1,,1,1,,2,,,,,2,,,,1,,,,,2,1,1,2
3036.1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,3,3,3,3,1,3,1,1,2,3,,2,3,3,3,2,,3,2,2
3029.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,2,1,2,3,3,3,3,2,2,3,2,3,3,1,2,3,2
3048.1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,2,3,3,3,3,2,3,,2,,3,,3,3,1,3,2,2,2,3,2
3024.1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,2,,3,3,3,3,,,3,,3,,3,2,,3,3,1,1,2,2
3026.1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,2,2,,2,1,,2,,,2,,1,1,,,,1,2,2,2,2,2
3028.1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,,1,,3,3,3,,3,,1,,1,,1,2,3,1,1,2,,2,2
3027.1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,2,,1,3,3,2,2,3,2,,,1,1,,3,3,2,1,1,,1,2
3025.1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,2,1,3,3,3,2,3,,2,,3,,2,3,,3,2,,3,2,2
3049.1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,,3,2,1,1,3,1,1,,2,,1,2,,3,1,,1,,2
3033.1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,2,3,3,3,3,3,2,2,3,3,3,,3,3,,3,3,2,3,3,2
3040.1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,3,2,3,3,1,1,2,1,1,2,1,2,1,1,1,1,2
3035.1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,1,,3,3,2,,1,1,,,1,2,2,,,2,1,,1,,2
3057.1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,,3,3,3,3,,1,,,,,1,2,,3,2,1,3,2,2
3056.1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,1,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,2,2,3,3,2
1019.1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,,1,1,0,0,0,1,2,,2,3,,3,,,1,,,,2,3,,3,1,,,,2
1020.1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,,0,1,0,0,1,,,,1,1,,,,1,,,,,,,,,,,,1,2
3064.1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,2,,3,3,3,2,3,2,1,,3,,2,3,,2,2,1,1,3,2
3042.1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,2,,,,2,,1,3,,3,,2,,1,2,3,2,1,2,3,2,2
3047.1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,2,2,,3,,1,1,2,3,1,2,,2,3,,,,2,3,3,2
3051.1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,2,3,2,1,2,1,2,,2,,1,,2,2,,1,1,1,3,1,2
3114.1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,2,1,,1,3,3,1,3,,2,,2,,2,3,1,3,1,3,3,3,2
3063.1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,1,2,,2,2,3,2,3,,1,,1,,3,2,,3,1,,,3,2
3065.1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,3,3,,3,3,2,2,,1,3,,3,3,3,3,,3,3,3,,2,2
3074.1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,,2,,2,3,,3,1,,2,,1,1,1,1,,2,1,1,1,2,2
3068.1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,2,3,2,3,3,2,2,1,2,2,3,,3,2,,2,2,2,3,2,2
3067.1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,3,,,3,2,,2,2,1,3,,,3,3,3,1,3,2,3,1,3,2
3066.1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,,1,3,3,3,3,2,2,1,2,2,,,2,2,1,3,1,3,2,2,2
2010.1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,3,2,1,1,3,1,2,,1,3,,3,,2,1,3,3,2,3,,2,2
3060.1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,1,3,2,3,2,1,3,2,2,,1,3,2,3,3,2,1,1,2,2,2
3071.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,1,3,3,3,2,1,3,3,3,2,2,1,2,2
3095.1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,2,,2,,3,,3,3,3,3,2,2,3,3,2
3078.1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,1,2,1,2,2,2,2,2,1,,1,,1,,,2,1,2,2,,3,1,2
3088.1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,3,3,,3,3,3,1,2,2,3,,3,1,3,3,2,3,3,3,,3,2
3079.1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,2,2,1,1,1,1,3,3,3,,2,3,2,2,3,,2,3,2
3111.1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,,1,,2,1,,1,,1,1,,2,,1,1,1,1,1,1,3,1,2
3075.1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,,2,1,,1,,1,1,,1,,1,2,,2,1,1,,1,2
3080.1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,,2,2,1,1,,,2,3,1,,1,2,,1,1,1,1,1,2
3082.1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,2,,3,3,1,1,1,,2,1,2,,2,3,,2,2,1,3,2,2
3083.1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,2,3,3,2,3,1,,,,,,,,2,2,,2,1,2,2,2,2
3087.1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,3,3,2,3,3,3,2,3,,2,,3,,1,2,,3,2,3,3,3,2
3081.1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,3,1,2,2,2,2,,2,,,,1,,,3,2,3,1,,,1,2
3089.1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,,3,3,3,3,3,,2,,2,1,,2,,3,1,1,3,1,2
